Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;3;MACHA£EK;Marzena Anna;Kobieta;parlamentarzysta;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;22481;0.12260312820400951;0.05198688360821023;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;4;KUB”W;Krzysztof Jan;MÍøczyzna;parlamentarzysta;Lubin;21101;m. Lubin;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;23834;0.12998189393774132;0.05511567029572006;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;5;ZUBOWSKI;Wojciech Micha≥;MÍøczyzna;parlamentarzysta;G≥ogÛw;20301;m. G≥ogÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;12868;0.07017735215200366;0.029757004504712838;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;6;SZYMA—SKA;Ewa Zofia;Kobieta;bieg≥y rewident;Legnica;26201;m. Legnica;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;8930;0.04870094456927205;0.02065045463374927;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;7;ZEMBIK;Teresa;Kobieta;nauczyciel informatyki/ technologii informacyjnej;LubaÒ;21001;m. LubaÒ;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3284;0.01790973146310072;0.007594187347954379;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;8;BABUåKA;Adam;MÍøczyzna;przedstawiciel w≥adzy samorzπdowej - Starosta;Nowa Wieú Legnicka;20905;gm. Legnickie Pole;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3361;0.018329661220304966;0.007772248378950874;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;9;RYPI—SKI;JÛzef;MÍøczyzna;fizyk;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Solidarna Polska;;3167;0.017271656377478677;0.0073236270800765895;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;10;POGODA;Szymon Marek;MÍøczyzna;kierownik biura;Boles≥awiec;20101;m. Boles≥awiec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;4876;0.026591915534128836;0.01127565697582995;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;11;MARCINIAK;Wojciech;MÍøczyzna;filolog;Sobin;21604;gm. Polkowice;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3293;0.01795881416199472;0.007614999676252671;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;12;KARWAN;Jacek;MÍøczyzna;prezes;Giera≥towiec;22606;gm. Z≥otoryja;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3161;0.017238934578216007;0.0073097521945443954;Nie
